Pair.Name	Ligand	Receptor
CPAMD8_SCTR	CPAMD8	SCTR
CP_SLC40A1	CP	SLC40A1
CRH_CRHR1	CRH	CRHR1
CRH_CRHR2	CRH	CRHR2
CRH_MC2R	CRH	MC2R
CRP_OLR1	CRP	OLR1
CSF1_CSF1R	CSF1	CSF1R
CSF2_CSF1R	CSF2	CSF1R
CSF2_CSF2RA	CSF2	CSF2RA
CSF2_CSF2RB	CSF2	CSF2RB
CSF2_CSF3R	CSF2	CSF3R
CSF2_IL3RA	CSF2	IL3RA
CSF2_ITGA9	CSF2	ITGA9
CSF2_ITGB1	CSF2	ITGB1
CSF2_SDC2	CSF2	SDC2
CSF3_CSF1R	CSF3	CSF1R
CSF3_CSF3R	CSF3	CSF3R
CSH1_PRLR	CSH1	PRLR
CSH2_PRLR	CSH2	PRLR
CSHL1_GHR	CSHL1	GHR
CSHL1_PRLR	CSHL1	PRLR
CTF1_IL6ST	CTF1	IL6ST
CTF1_LIFR	CTF1	LIFR
CTGF_ERBB4	CTGF	ERBB4
CTGF_ITGA5	CTGF	ITGA5
CTGF_ITGAM	CTGF	ITGAM
CTGF_ITGB2	CTGF	ITGB2
CTGF_LRP1	CTGF	LRP1
CTGF_LRP6	CTGF	LRP6
CTGF_NTRK1	CTGF	NTRK1
CTHRC1_FZD3	CTHRC1	FZD3
CTHRC1_FZD5	CTHRC1	FZD5
CTHRC1_FZD6	CTHRC1	FZD6
CUBN_LRP2	CUBN	LRP2
CX3CL1_CX3CR1	CX3CL1	CX3CR1
CXCL10_CCR3	CXCL10	CCR3
CXCL10_CXCR3	CXCL10	CXCR3
CXCL10_SDC4	CXCL10	SDC4
CXCL11_ACKR3	CXCL11	ACKR3
CXCL11_CCR3	CXCL11	CCR3
CXCL11_CXCR3	CXCL11	CXCR3
CXCL12_ACKR3	CXCL12	ACKR3
CXCL12_CCR4	CXCL12	CCR4
CXCL12_CD4	CXCL12	CD4
CXCL12_CXCR3	CXCL12	CXCR3
CXCL12_CXCR4	CXCL12	CXCR4
CXCL12_ITGB1	CXCL12	ITGB1
CXCL12_SDC4	CXCL12	SDC4
CXCL13_ACKR4	CXCL13	ACKR4
CXCL13_CCR10	CXCL13	CCR10
CXCL13_CXCR3	CXCL13	CXCR3
CXCL13_CXCR5	CXCL13	CXCR5
CXCL13_HTR2A	CXCL13	HTR2A
CXCL13_OPRD1	CXCL13	OPRD1
CXCL16_CXCR6	CXCL16	CXCR6
CXCL1_CXCR1	CXCL1	CXCR1
CXCL1_CXCR2	CXCL1	CXCR2
CXCL1_DARC	CXCL1	DARC
CXCL2_CXCR1	CXCL2	CXCR1
CXCL2_CXCR2	CXCL2	CXCR2
CXCL2_XCR1	CXCL2	XCR1
CXCL3_CXCR1	CXCL3	CXCR1
CXCL3_CXCR2	CXCL3	CXCR2
CXCL5_CXCR1	CXCL5	CXCR1
CXCL5_CXCR2	CXCL5	CXCR2
CXCL5_DARC	CXCL5	DARC
CXCL6_CXCR1	CXCL6	CXCR1
CXCL6_CXCR2	CXCL6	CXCR2
CXCL9_CCR3	CXCL9	CCR3
CXCL9_CXCR3	CXCL9	CXCR3
CYR61_CAV1	CYR61	CAV1
CYR61_ITGA5	CYR61	ITGA5
CYR61_ITGAM	CYR61	ITGAM
CYR61_ITGAV	CYR61	ITGAV
CYR61_ITGB2	CYR61	ITGB2
CYR61_ITGB3	CYR61	ITGB3
CYR61_ITGB5	CYR61	ITGB5
DCN_EGFR	DCN	EGFR
DCN_ERBB4	DCN	ERBB4
DCN_MET	DCN	MET
DEFB103A_CCR6	DEFB103A	CCR6
DEFB103B_CCR2	DEFB103B	CCR2
DEFB103B_CCR6	DEFB103B	CCR6
DEFB1_CCR6	DEFB1	CCR6
DEFB4A_CCR6	DEFB4A	CCR6
DEFB4A_TLR4	DEFB4A	TLR4
DEFB4B_CCR6	DEFB4B	CCR6
DHH_BOC	DHH	BOC
DHH_CDON	DHH	CDON
DHH_HHIP	DHH	HHIP
DHH_PTCH1	DHH	PTCH1
DHH_PTCH2	DHH	PTCH2
DKK1_KREMEN1	DKK1	KREMEN1
DKK1_KREMEN2	DKK1	KREMEN2
DKK1_LRP5	DKK1	LRP5
DKK1_LRP6	DKK1	LRP6
DKK2_KREMEN2	DKK2	KREMEN2
DKK2_LRP6	DKK2	LRP6
DLK1_NOTCH1	DLK1	NOTCH1
DLK1_NOTCH2	DLK1	NOTCH2
DLK1_NOTCH3	DLK1	NOTCH3
DLK1_NOTCH4	DLK1	NOTCH4
DLK2_NOTCH1	DLK2	NOTCH1
DLL1_NOTCH1	DLL1	NOTCH1
DLL1_NOTCH2	DLL1	NOTCH2
DLL1_NOTCH3	DLL1	NOTCH3
DLL1_NOTCH4	DLL1	NOTCH4
DLL3_NOTCH1	DLL3	NOTCH1
DLL3_NOTCH2	DLL3	NOTCH2
DLL3_NOTCH3	DLL3	NOTCH3
DLL3_NOTCH4	DLL3	NOTCH4
DLL4_NOTCH1	DLL4	NOTCH1
DLL4_NOTCH2	DLL4	NOTCH2
DLL4_NOTCH3	DLL4	NOTCH3
DLL4_NOTCH4	DLL4	NOTCH4
DSCAM_DCC	DSCAM	DCC
DUSP18_CD151	DUSP18	CD151
DUSP18_ITGA1	DUSP18	ITGA1
DUSP18_ITGA2	DUSP18	ITGA2
DUSP18_ITGA3	DUSP18	ITGA3
DUSP18_ITGA6	DUSP18	ITGA6
DUSP18_ITGA7	DUSP18	ITGA7
DUSP18_ITGB1	DUSP18	ITGB1
DUSP18_ITGB4	DUSP18	ITGB4
DUSP18_RPSA	DUSP18	RPSA
EBI3_IL27RA	EBI3	IL27RA
EBI3_IL6ST	EBI3	IL6ST
ECM1_CACHD1	ECM1	CACHD1
EDA_EDA2R	EDA	EDA2R
EDA_EDAR	EDA	EDAR
EDIL3_ITGAV	EDIL3	ITGAV
EDIL3_ITGB5	EDIL3	ITGB5
EDN1_EDNRA	EDN1	EDNRA
EDN1_EDNRB	EDN1	EDNRB
EDN1_ELTD1	EDN1	ELTD1
EDN1_KEL	EDN1	KEL
EDN2_EDNRA	EDN2	EDNRA
EDN2_EDNRB	EDN2	EDNRB
EDN2_KEL	EDN2	KEL
EDN3_EDNRA	EDN3	EDNRA
EDN3_EDNRB	EDN3	EDNRB
EDN3_KEL	EDN3	KEL
EFEMP1_EGFR	EFEMP1	EGFR
EFEMP2_AQP1	EFEMP2	AQP1
EFEMP2_CATSPER1	EFEMP2	CATSPER1
EFEMP2_LINGO1	EFEMP2	LINGO1
EFEMP2_PLSCR4	EFEMP2	PLSCR4
EFNA1_EPHA1	EFNA1	EPHA1
EFNA1_EPHA2	EFNA1	EPHA2
EFNA1_EPHA3	EFNA1	EPHA3
EFNA1_EPHA4	EFNA1	EPHA4
EFNA1_EPHA5	EFNA1	EPHA5
EFNA1_EPHA6	EFNA1	EPHA6
EFNA1_EPHA7	EFNA1	EPHA7
EFNA1_EPHA8	EFNA1	EPHA8
EFNA1_EPHB1	EFNA1	EPHB1
EFNA1_EPHB6	EFNA1	EPHB6
EFNA2_EPHA1	EFNA2	EPHA1
EFNA2_EPHA2	EFNA2	EPHA2
EFNA2_EPHA3	EFNA2	EPHA3
EFNA2_EPHA4	EFNA2	EPHA4
EFNA2_EPHA5	EFNA2	EPHA5
EFNA2_EPHA6	EFNA2	EPHA6
EFNA2_EPHA7	EFNA2	EPHA7
EFNA2_EPHA8	EFNA2	EPHA8
EFNA3_EPHA1	EFNA3	EPHA1
EFNA3_EPHA2	EFNA3	EPHA2
EFNA3_EPHA3	EFNA3	EPHA3
EFNA3_EPHA4	EFNA3	EPHA4
EFNA3_EPHA5	EFNA3	EPHA5
EFNA3_EPHA6	EFNA3	EPHA6
EFNA3_EPHA7	EFNA3	EPHA7
EFNA3_EPHA8	EFNA3	EPHA8
EFNA3_EPHB1	EFNA3	EPHB1
EFNA3_EPHB6	EFNA3	EPHB6
EFNA4_EPHA1	EFNA4	EPHA1
EFNA4_EPHA2	EFNA4	EPHA2
EFNA4_EPHA3	EFNA4	EPHA3
EFNA4_EPHA4	EFNA4	EPHA4
EFNA4_EPHA5	EFNA4	EPHA5
EFNA4_EPHA6	EFNA4	EPHA6
EFNA4_EPHA7	EFNA4	EPHA7
EFNA4_EPHA8	EFNA4	EPHA8
EFNA5_EPHA1	EFNA5	EPHA1
EFNA5_EPHA2	EFNA5	EPHA2
EFNA5_EPHA3	EFNA5	EPHA3
EFNA5_EPHA4	EFNA5	EPHA4
EFNA5_EPHA5	EFNA5	EPHA5
EFNA5_EPHA6	EFNA5	EPHA6
EFNA5_EPHA7	EFNA5	EPHA7
EFNA5_EPHA8	EFNA5	EPHA8
EFNA5_EPHB1	EFNA5	EPHB1
EFNA5_EPHB2	EFNA5	EPHB2
EFNA5_EPHB6	EFNA5	EPHB6
EFNB1_EPHA4	EFNB1	EPHA4
EFNB1_EPHA6	EFNB1	EPHA6
EFNB1_EPHB1	EFNB1	EPHB1
EFNB1_EPHB2	EFNB1	EPHB2
EFNB1_EPHB3	EFNB1	EPHB3
EFNB1_EPHB4	EFNB1	EPHB4
EFNB1_EPHB6	EFNB1	EPHB6
EFNB1_ERBB2	EFNB1	ERBB2
EFNB2_EPHA3	EFNB2	EPHA3
EFNB2_EPHA4	EFNB2	EPHA4
EFNB2_EPHA6	EFNB2	EPHA6
EFNB2_EPHB1	EFNB2	EPHB1
EFNB2_EPHB2	EFNB2	EPHB2
EFNB2_EPHB3	EFNB2	EPHB3
EFNB2_EPHB4	EFNB2	EPHB4
EFNB2_EPHB6	EFNB2	EPHB6
EFNB2_GRM1	EFNB2	GRM1
EFNB2_GRM5	EFNB2	GRM5
EFNB2_PECAM1	EFNB2	PECAM1
EFNB2_RHBDL2	EFNB2	RHBDL2
EFNB3_EPHA4	EFNB3	EPHA4
EFNB3_EPHB1	EFNB3	EPHB1
EFNB3_EPHB2	EFNB3	EPHB2
EFNB3_EPHB3	EFNB3	EPHB3
EFNB3_EPHB4	EFNB3	EPHB4
EFNB3_EPHB6	EFNB3	EPHB6
EFNB3_RHBDL2	EFNB3	RHBDL2
EGFL8_NCR3	EGFL8	NCR3
EGF_CAV1	EGF	CAV1
EGF_EGFR	EGF	EGFR
EGF_ERBB2	EGF	ERBB2
EGF_ERBB3	EGF	ERBB3
EGF_ERBB4	EGF	ERBB4
EGF_FSHR	EGF	FSHR
EPGN_EGFR	EPGN	EGFR
EPO_EPOR	EPO	EPOR
EREG_EGFR	EREG	EGFR
EREG_ERBB2	EREG	ERBB2
EREG_ERBB3	EREG	ERBB3
EREG_ERBB4	EREG	ERBB4
F10_F3	F10	F3
F10_ITGAM	F10	ITGAM
F10_ITGB2	F10	ITGB2
F11_GP1BA	F11	GP1BA
F12_CD93	F12	CD93
F12_GP1BA	F12	GP1BA
F13A1_ITGA4	F13A1	ITGA4
F13A1_ITGA9	F13A1	ITGA9
F13A1_ITGB1	F13A1	ITGB1
F2_F2R	F2	F2R
F2_F2RL1	F2	F2RL1
F2_F2RL2	F2	F2RL2
F2_F2RL3	F2	F2RL3
F2_GP1BA	F2	GP1BA
F2_GP1BB	F2	GP1BB
F2_GP9	F2	GP9
F2_ITGA2B	F2	ITGA2B
F2_THBD	F2	THBD
F7_F3	F7	F3
F8_ASGR2	F8	ASGR2
F8_LDLR	F8	LDLR
F8_LRP1	F8	LRP1
F9_LRP1	F9	LRP1
FARP2_PLXNA1	FARP2	PLXNA1
FARP2_PLXNA2	FARP2	PLXNA2
FARP2_PLXNA3	FARP2	PLXNA3
FARP2_PLXNA4	FARP2	PLXNA4
FASLG_FAS	FASLG	FAS
FASLG_TNFRSF1A	FASLG	TNFRSF1A
FASLG_TNFRSF6B	FASLG	TNFRSF6B
FAT4_DCHS1	FAT4	DCHS1
FBLN1_ITGB1	FBLN1	ITGB1
FBLN2_ITGB3	FBLN2	ITGB3
FBN1_ITGA5	FBN1	ITGA5
FBN1_ITGAV	FBN1	ITGAV
FBN1_ITGB1	FBN1	ITGB1
FBN1_ITGB3	FBN1	ITGB3
FBN1_ITGB6	FBN1	ITGB6
FCN2_LRP1	FCN2	LRP1
FGA_CDH5	FGA	CDH5
FGA_ITGA2B	FGA	ITGA2B
FGA_ITGA5	FGA	ITGA5
FGA_ITGAD	FGA	ITGAD
FGA_ITGAM	FGA	ITGAM
FGA_ITGAV	FGA	ITGAV
FGA_ITGAX	FGA	ITGAX
FGA_ITGB1	FGA	ITGB1
FGA_ITGB2	FGA	ITGB2
FGA_ITGB3	FGA	ITGB3
FGA_PLAUR	FGA	PLAUR
FGB_ITGA2B	FGB	ITGA2B
FGB_ITGA5	FGB	ITGA5
FGB_ITGAM	FGB	ITGAM
FGB_ITGAV	FGB	ITGAV
FGB_ITGB1	FGB	ITGB1
FGB_ITGB2	FGB	ITGB2
FGF10_FGFR1	FGF10	FGFR1
FGF10_FGFR2	FGF10	FGFR2
FGF10_FGFR3	FGF10	FGFR3
FGF10_FGFR4	FGF10	FGFR4
FGF11_FGFR1	FGF11	FGFR1
FGF11_FGFR2	FGF11	FGFR2
FGF11_FGFR3	FGF11	FGFR3
FGF11_FGFR4	FGF11	FGFR4
FGF12_FGFR1	FGF12	FGFR1
FGF12_FGFR2	FGF12	FGFR2
FGF12_FGFR3	FGF12	FGFR3
FGF12_FGFR4	FGF12	FGFR4
FGF13_EGFR	FGF13	EGFR
FGF13_FGFR1	FGF13	FGFR1
FGF13_FGFR2	FGF13	FGFR2
FGF13_FGFR3	FGF13	FGFR3
FGF13_FGFR4	FGF13	FGFR4
FGF13_SCN5A	FGF13	SCN5A
FGF13_SCN8A	FGF13	SCN8A
FGF14_FGFR1	FGF14	FGFR1
FGF14_FGFR2	FGF14	FGFR2
FGF14_FGFR3	FGF14	FGFR3
FGF14_FGFR4	FGF14	FGFR4
FGF16_FGFR1	FGF16	FGFR1
FGF16_FGFR2	FGF16	FGFR2
FGF16_FGFR3	FGF16	FGFR3
FGF16_FGFR4	FGF16	FGFR4
FGF17_FGFR1	FGF17	FGFR1
FGF17_FGFR2	FGF17	FGFR2
FGF17_FGFR3	FGF17	FGFR3
FGF17_FGFR4	FGF17	FGFR4
FGF18_FGFR1	FGF18	FGFR1
FGF18_FGFR2	FGF18	FGFR2
FGF18_FGFR3	FGF18	FGFR3
FGF18_FGFR4	FGF18	FGFR4
FGF19_FGFR1	FGF19	FGFR1
FGF19_FGFR2	FGF19	FGFR2
FGF19_FGFR3	FGF19	FGFR3
FGF19_FGFR4	FGF19	FGFR4
FGF19_KLB	FGF19	KLB
FGF1_CD44	FGF1	CD44
FGF1_EGFR	FGF1	EGFR
FGF1_FGFR1	FGF1	FGFR1
FGF1_FGFR2	FGF1	FGFR2
FGF1_FGFR3	FGF1	FGFR3
FGF1_FGFR4	FGF1	FGFR4
FGF1_FGFRL1	FGF1	FGFRL1
FGF1_NRP1	FGF1	NRP1
FGF20_FGFR4	FGF20	FGFR4
FGF21_FGFR2	FGF21	FGFR2
FGF21_FGFR4	FGF21	FGFR4
FGF22_FGFR2	FGF22	FGFR2
FGF23_FGFR1	FGF23	FGFR1
FGF23_FGFR2	FGF23	FGFR2
FGF23_FGFR3	FGF23	FGFR3
FGF23_FGFR4	FGF23	FGFR4
FGF23_PHEX	FGF23	PHEX
FGF2_CD44	FGF2	CD44
FGF2_FGFR1	FGF2	FGFR1
FGF2_FGFR2	FGF2	FGFR2
FGF2_FGFR3	FGF2	FGFR3
FGF2_FGFR4	FGF2	FGFR4
FGF2_FGFRL1	FGF2	FGFRL1
FGF2_GPC4	FGF2	GPC4
FGF2_NRP1	FGF2	NRP1
FGF2_SDC1	FGF2	SDC1
FGF2_SDC2	FGF2	SDC2
FGF2_SDC3	FGF2	SDC3
FGF2_SDC4	FGF2	SDC4
FGF3_FGFR1	FGF3	FGFR1
FGF3_FGFR2	FGF3	FGFR2
FGF3_FGFR3	FGF3	FGFR3
FGF3_FGFR4	FGF3	FGFR4
FGF4_FGFR1	FGF4	FGFR1
FGF4_FGFR2	FGF4	FGFR2
FGF4_FGFR3	FGF4	FGFR3
FGF4_FGFR4	FGF4	FGFR4
FGF4_NRP1	FGF4	NRP1
FGF5_FGFR1	FGF5	FGFR1
FGF5_FGFR2	FGF5	FGFR2
FGF5_FGFR3	FGF5	FGFR3
FGF5_FGFR4	FGF5	FGFR4
FGF6_FGFR1	FGF6	FGFR1
FGF6_FGFR2	FGF6	FGFR2
FGF6_FGFR3	FGF6	FGFR3
FGF6_FGFR4	FGF6	FGFR4
FGF6_SDC4	FGF6	SDC4
FGF7_FGFR1	FGF7	FGFR1
FGF7_FGFR2	FGF7	FGFR2
FGF7_FGFR3	FGF7	FGFR3
FGF7_FGFR4	FGF7	FGFR4
FGF7_NRP1	FGF7	NRP1
FGF8_FGFR1	FGF8	FGFR1
FGF8_FGFR2	FGF8	FGFR2
FGF8_FGFR3	FGF8	FGFR3
FGF8_FGFR4	FGF8	FGFR4
FGF9_FGFR1	FGF9	FGFR1
FGF9_FGFR2	FGF9	FGFR2
FGF9_FGFR3	FGF9	FGFR3
FGF9_FGFR4	FGF9	FGFR4
FGG_ITGA2B	FGG	ITGA2B
FGG_ITGA5	FGG	ITGA5
FGG_ITGAV	FGG	ITGAV
FGG_ITGB1	FGG	ITGB1
FGG_ITGB2	FGG	ITGB2
FGL1_EGFR	FGL1	EGFR
FIGF_FLT1	FIGF	FLT1
FIGF_FLT4	FIGF	FLT4
FIGF_ITGA1	FIGF	ITGA1
FIGF_ITGA2	FIGF	ITGA2
FIGF_ITGA4	FIGF	ITGA4
FIGF_ITGA5	FIGF	ITGA5
FIGF_ITGA9	FIGF	ITGA9
FIGF_ITGB1	FIGF	ITGB1
FIGF_KDR	FIGF	KDR
FIGF_NRP2	FIGF	NRP2
FLT3LG_FLT3	FLT3LG	FLT3
FN1_C5AR1	FN1	C5AR1
FN1_CD44	FN1	CD44
FN1_CD79A	FN1	CD79A
FN1_COL13A1	FN1	COL13A1
FN1_FLT4	FN1	FLT4
FN1_IL17RC	FN1	IL17RC
FN1_ITGA2	FN1	ITGA2
FN1_ITGA2B	FN1	ITGA2B
FN1_ITGA3	FN1	ITGA3
FN1_ITGA4	FN1	ITGA4
FN1_ITGA5	FN1	ITGA5
FN1_ITGA6	FN1	ITGA6
FN1_ITGA8	FN1	ITGA8
FN1_ITGA9	FN1	ITGA9
FN1_ITGAV	FN1	ITGAV
FN1_ITGB1	FN1	ITGB1
FN1_ITGB3	FN1	ITGB3
FN1_ITGB6	FN1	ITGB6
FN1_ITGB7	FN1	ITGB7
FN1_ITGB8	FN1	ITGB8
FN1_MAG	FN1	MAG
FN1_NT5E	FN1	NT5E
FN1_PLAUR	FN1	PLAUR
FN1_ROBO4	FN1	ROBO4
FN1_SDC2	FN1	SDC2
FN1_TMPRSS6	FN1	TMPRSS6
FN1_TNFRSF11B	FN1	TNFRSF11B
FN1_TSHR	FN1	TSHR
FSHB_FSHR	FSHB	FSHR
FST_BMPR1B	FST	BMPR1B
FST_BMPR2	FST	BMPR2
FST_HFE2	FST	HFE2
GAD1_GRM4	GAD1	GRM4
GALP_GALR1	GALP	GALR1
GALP_GALR2	GALP	GALR2
GALP_GALR3	GALP	GALR3
GAL_GALR1	GAL	GALR1
GAL_GALR2	GAL	GALR2
GAL_GALR3	GAL	GALR3
GAL_GPR151	GAL	GPR151
GAS6_AXL	GAS6	AXL
GAS6_MERTK	GAS6	MERTK
GAS6_TYRO3	GAS6	TYRO3
GAST_CCKBR	GAST	CCKBR
GCG_GCGR	GCG	GCGR
GCG_GLP1R	GCG	GLP1R
GCG_GLP2R	GCG	GLP2R
GDF10_ACVR1B	GDF10	ACVR1B
GDF11_ACVR1B	GDF11	ACVR1B
GDF11_ACVR2A	GDF11	ACVR2A
GDF11_ACVR2B	GDF11	ACVR2B
GDF2_ACVR1	GDF2	ACVR1
GDF2_ACVR2A	GDF2	ACVR2A
GDF2_ACVR2B	GDF2	ACVR2B
GDF2_ACVRL1	GDF2	ACVRL1
GDF2_BMPR2	GDF2	BMPR2
GDF2_ENG	GDF2	ENG
GDF5_ACVR1	GDF5	ACVR1
GDF5_ACVR2A	GDF5	ACVR2A
GDF5_ACVR2B	GDF5	ACVR2B
GDF5_BMPR1A	GDF5	BMPR1A
GDF5_BMPR1B	GDF5	BMPR1B
GDF5_BMPR2	GDF5	BMPR2
GDF5_ROR2	GDF5	ROR2
GDF6_BMPR1A	GDF6	BMPR1A
GDF6_BMPR1B	GDF6	BMPR1B
GDF6_BMPR2	GDF6	BMPR2
GDF7_ACVR2A	GDF7	ACVR2A
GDF7_BMPR1A	GDF7	BMPR1A
GDF7_BMPR2	GDF7	BMPR2
GDF9_ACVR2A	GDF9	ACVR2A
GDF9_BMPR1A	GDF9	BMPR1A
GDF9_BMPR1B	GDF9	BMPR1B
GDF9_BMPR2	GDF9	BMPR2
GDF9_FXYD6	GDF9	FXYD6
GDF9_ORAI2	GDF9	ORAI2
GDF9_TGFBR1	GDF9	TGFBR1
GDNF_EDNRB	GDNF	EDNRB
GDNF_GFRA1	GDNF	GFRA1
GDNF_GFRA2	GDNF	GFRA2
GDNF_RET	GDNF	RET
GDNF_SLC44A5	GDNF	SLC44A5
GH1_GHR	GH1	GHR
GH1_PRLR	GH1	PRLR
GH2_GHR	GH2	GHR
GHRH_GHRHR	GHRH	GHRHR
GHRH_VIPR1	GHRH	VIPR1
GHRL_GHRHR	GHRL	GHRHR
GHRL_GHSR	GHRL	GHSR
GHRL_GPR39	GHRL	GPR39
GHRL_MLNR	GHRL	MLNR
GIP_DPP4	GIP	DPP4
GIP_GIPR	GIP	GIPR
GIP_INSR	GIP	INSR
GNAI2_ADCY1	GNAI2	ADCY1
GNAI2_ADCY7	GNAI2	ADCY7
GNAI2_ADCY8	GNAI2	ADCY8
GNAI2_ADCY9	GNAI2	ADCY9
GNAI2_ADORA1	GNAI2	ADORA1
GNAI2_ADRA2A	GNAI2	ADRA2A
GNAI2_ADRA2B	GNAI2	ADRA2B
GNAI2_AGTR2	GNAI2	AGTR2
GNAI2_C5AR1	GNAI2	C5AR1
GNAI2_CAV1	GNAI2	CAV1
GNAI2_CCR5	GNAI2	CCR5
GNAI2_CHRM1	GNAI2	CHRM1
GNAI2_CNR1	GNAI2	CNR1
GNAI2_CXCR1	GNAI2	CXCR1
GNAI2_CXCR2	GNAI2	CXCR2
GNAI2_CXCR3	GNAI2	CXCR3
GNAI2_DRD2	GNAI2	DRD2
GNAI2_EDNRA	GNAI2	EDNRA
GNAI2_EDNRB	GNAI2	EDNRB
GNAI2_EGFR	GNAI2	EGFR
GNAI2_F2R	GNAI2	F2R
GNAI2_FPR1	GNAI2	FPR1
GNAI2_IGF1R	GNAI2	IGF1R
GNAI2_LHCGR	GNAI2	LHCGR
GNAI2_LPAR3	GNAI2	LPAR3
GNAI2_MTNR1A	GNAI2	MTNR1A
GNAI2_MTNR1B	GNAI2	MTNR1B
GNAI2_OPRD1	GNAI2	OPRD1
GNAI2_OPRM1	GNAI2	OPRM1
GNAI2_P2RY12	GNAI2	P2RY12
GNAI2_PTPRU	GNAI2	PTPRU
GNAI2_S1PR1	GNAI2	S1PR1
GNAI2_S1PR3	GNAI2	S1PR3
GNAI2_S1PR4	GNAI2	S1PR4
GNAI2_S1PR5	GNAI2	S1PR5
GNAI2_TBXA2R	GNAI2	TBXA2R
GNAI2_TSHR	GNAI2	TSHR
GNAI2_UNC5B	GNAI2	UNC5B
GNAS_ADCY1	GNAS	ADCY1
GNAS_ADCY7	GNAS	ADCY7
GNAS_ADCY8	GNAS	ADCY8
GNAS_ADCY9	GNAS	ADCY9
GNAS_ADORA1	GNAS	ADORA1
GNAS_ADRB3	GNAS	ADRB3
GNAS_AVPR2	GNAS	AVPR2
GNAS_CRHR1	GNAS	CRHR1
GNAS_GCGR	GNAS	GCGR
GNAS_GLP1R	GNAS	GLP1R
GNAS_HTR6	GNAS	HTR6
GNAS_LHCGR	GNAS	LHCGR
GNAS_PTGDR	GNAS	PTGDR
GNAS_PTGIR	GNAS	PTGIR
GNAS_TSHR	GNAS	TSHR
GNAS_VIPR1	GNAS	VIPR1
GNB3_GABBR2	GNB3	GABBR2
GNB3_TGFBR1	GNB3	TGFBR1
GNRH1_GNRHR	GNRH1	GNRHR
GNRH2_GNRHR	GNRH2	GNRHR
GPC3_CD81	GPC3	CD81
GPC3_IGF1R	GPC3	IGF1R
GPHA2_TSHR	GPHA2	TSHR
GPI_AMFR	GPI	AMFR
GREM1_KDR	GREM1	KDR
GRP_BRS3	GRP	BRS3
GRP_GRPR	GRP	GRPR
GRP_NMBR	GRP	NMBR
GSTP1_TRAF2	GSTP1	TRAF2
GUCA2A_GUCY2C	GUCA2A	GUCY2C
GUCA2B_GUCY2C	GUCA2B	GUCY2C
GUCA2B_GUCY2D	GUCA2B	GUCY2D
GZMB_CHRM3	GZMB	CHRM3
GZMB_IGF2R	GZMB	IGF2R
GZMB_PGRMC1	GZMB	PGRMC1
HAS2_CD44	HAS2	CD44
HAS2_HMMR	HAS2	HMMR
HBEGF_CD44	HBEGF	CD44
HBEGF_CD82	HBEGF	CD82
HBEGF_CD9	HBEGF	CD9
HBEGF_EGFR	HBEGF	EGFR
HBEGF_ERBB2	HBEGF	ERBB2
HBEGF_ERBB4	HBEGF	ERBB4
HBEGF_PRLR	HBEGF	PRLR
HCRT_HCRTR1	HCRT	HCRTR1
HCRT_HCRTR2	HCRT	HCRTR2
HCRT_NPFFR2	HCRT	NPFFR2
HDC_HRH1	HDC	HRH1
HDC_HRH2	HDC	HRH2
HDC_HRH3	HDC	HRH3
HDC_HRH4	HDC	HRH4
HEBP1_FPR3	HEBP1	FPR3
HGF_CD44	HGF	CD44
HGF_MET	HGF	MET
HGF_SDC1	HGF	SDC1
HGF_SDC2	HGF	SDC2
HGF_ST14	HGF	ST14
HHIPL2_CACHD1	HHIPL2	CACHD1
HHLA3_CHRM3	HHLA3	CHRM3
HLA-A_APLP2	HLA-A	APLP2
HLA-A_CD3D	HLA-A	CD3D
HLA-A_CD3G	HLA-A	CD3G
HLA-A_ERBB2	HLA-A	ERBB2
HLA-A_KIR2DL1	HLA-A	KIR2DL1
HLA-A_KIR2DL3	HLA-A	KIR2DL3
HLA-A_KIR3DL1	HLA-A	KIR3DL1
HLA-A_KIR3DL2	HLA-A	KIR3DL2
HLA-A_LILRB1	HLA-A	LILRB1
HLA-A_LILRB2	HLA-A	LILRB2
HLA-B_CANX	HLA-B	CANX
HLA-B_CD3D	HLA-B	CD3D
HLA-B_CD3G	HLA-B	CD3G
HLA-B_KIR2DL3	HLA-B	KIR2DL3
HLA-B_KIR3DL1	HLA-B	KIR3DL1
HLA-B_KLRD1	HLA-B	KLRD1
HLA-B_LILRB1	HLA-B	LILRB1
HLA-B_LILRB2	HLA-B	LILRB2
HLA-C_CD3D	HLA-C	CD3D
HLA-C_CD3G	HLA-C	CD3G
HLA-C_DDR1	HLA-C	DDR1
HLA-C_KIR2DL1	HLA-C	KIR2DL1
HLA-C_KIR2DL3	HLA-C	KIR2DL3
HLA-C_KIR2DS4	HLA-C	KIR2DS4
HLA-C_KIR3DL1	HLA-C	KIR3DL1
HLA-C_LILRA3	HLA-C	LILRA3
HLA-C_LILRB1	HLA-C	LILRB1
HLA-C_LILRB2	HLA-C	LILRB2
HLA-C_NOTCH4	HLA-C	NOTCH4
HLA-C_SLC9C2	HLA-C	SLC9C2
HLA-E_KIR3DL1	HLA-E	KIR3DL1
HLA-E_KLRC1	HLA-E	KLRC1
HLA-E_KLRC2	HLA-E	KLRC2
HLA-E_KLRD1	HLA-E	KLRD1
HLA-E_SLC16A4	HLA-E	SLC16A4
HLA-G_CD4	HLA-G	CD4
HLA-G_KIR2DL4	HLA-G	KIR2DL4
