hgGenes	mmGenes
DNAJC4	Dnajc4
DNAJC5	Dnajc5
DNAJC5B	Dnajc5b
DNAJC5G	Dnajc5g
DNAJC6	Dnajc6
DNAJC7	Dnajc7
DNAJC8	Dnajc8
DNAJC9	Dnajc9
DNAL1	Dnal1
DNAL4	Dnal4
DNALI1	Dnali1
DNASE1	Dnase1
DNASE1L1	Dnase1l1
DNASE1L2	Dnase1l2
DNASE1L3	Dnase1l3
DNASE2	Dnase2a
DNASE2B	Dnase2b
DND1	Dnd1
DNER	Dner
DNHD1	Dnhd1
DNLZ	Dnlz
DNM1	Dnm1
DNM1L	Dnm1l
DNM2	Dnm2
DNM3	Dnm3
DNMBP	Dnmbp
DNMT1	Dnmt1
DNMT3A	Dnmt3a
DNMT3B	Dnmt3b
DNMT3L	Dnmt3l
DNPEP	Dnpep
DNPH1	Dnph1
DNTT	Dntt
DNTTIP1	Dnttip1
DNTTIP2	Dnttip2
DOC2A	Doc2a
DOC2B	Doc2b
DOCK1	Dock1
DOCK10	Dock10
DOCK11	Dock11
DOCK2	Dock2
DOCK3	Dock3
DOCK4	Dock4
DOCK5	Dock5
DOCK6	Dock6
DOCK7	Dock7
DOCK8	Dock8
DOCK9	Dock9
DOHH	Dohh
DOK1	Dok1
DOK2	Dok2
DOK3	Dok3
DOK4	Dok4
DOK5	Dok5
DOK6	Dok6
DOK7	Dok7
DOLK	Dolk
DOLPP1	Dolpp1
DONSON	Donson
DOT1L	Dot1l
DPAGT1	Dpagt1
DPEP1	Dpep1
DPEP2	Dpep2
DPEP3	Dpep3
DPF1	Dpf1
DPF2	Dpf2
DPF3	Dpf3
DPH1	Dph1
DPH2	Dph2
DPH3	Dph3
DPH5	Dph5
DPH6	Dph6
DPH7	Dph7
DPM1	Dpm1
DPM2	Dpm2
DPM3	Dpm3
DPP10	Dpp10
DPP3	Dpp3
DPP4	Dpp4
DPP6	Dpp6
DPP7	Dpp7
DPP8	Dpp8
DPP9	Dpp9
DPPA2	Dppa2
DPPA3	Dppa3
DPPA4	Dppa4
DPPA5	Dppa5a
DPT	Dpt
DPY19L1	Dpy19l1
DPY19L2	Dpy19l2
DPY19L3	Dpy19l3
DPY19L4	Dpy19l4
DPY30	Dpy30
DPYD	Dpyd
DPYS	Dpys
DPYSL2	Dpysl2
DPYSL3	Dpysl3
DPYSL4	Dpysl4
DPYSL5	Dpysl5
DQX1	Dqx1
DR1	Dr1
DRAM1	Dram1
DRAM2	Dram2
DRAP1	Drap1
DRAXIN	Draxin
DRC1	Drc1
DRD1	Drd1
DRD2	Drd2
DRD3	Drd3
DRD4	Drd4
DRD5	Drd5
DRG1	Drg1
DRG2	Drg2
DRGX	Prrxl1
DROSHA	Drosha
DRP2	Drp2
DSC1	Dsc1
DSC2	Dsc2
DSC3	Dsc3
DSCAM	Dscam
DSCAML1	Dscaml1
DSCC1	Dscc1
DSE	Dse
DSEL	Dsel
DSG1	Dsg1a
DSG1	Dsg1b
DSG2	Dsg2
DSG3	Dsg3
DSG4	Dsg4
DSN1	Dsn1
DSP	Dsp
DSPP	Dspp
DST	Dst
DSTN	Dstn
DSTYK	Dstyk
DTD1	Dtd1
DTD2	Dtd2
DTHD1	Dthd1
DTL	Dtl
DTNA	Dtna
DTNB	Dtnb
DTNBP1	Dtnbp1
DTWD1	Dtwd1
DTWD2	Dtwd2
DTX1	Dtx1
DTX2	Dtx2
DTX3	Dtx3
DTX3L	Dtx3l
DTX4	Dtx4
DTYMK	Dtymk
DUOX1	Duox1
DUOX2	Duox2
DUOXA1	Duoxa1
DUOXA2	Duoxa2
DUPD1	Dupd1
DUS1L	Dus1l
DUS2	Dus2
DUS3L	Dus3l
DUS4L	Dus4l
DUSP1	Dusp1
DUSP10	Dusp10
DUSP11	Dusp11
DUSP12	Dusp12
DUSP13	Dusp13
DUSP14	Dusp14
DUSP15	Dusp15
DUSP16	Dusp16
DUSP18	Dusp18
DUSP19	Dusp19
DUSP2	Dusp2
DUSP21	Dusp21
DUSP22	Dusp22
DUSP23	Dusp23
DUSP26	Dusp26
DUSP27	Dusp27
DUSP28	Dusp28
DUSP3	Dusp3
DUSP4	Dusp4
DUSP5	Dusp5
DUSP6	Dusp6
DUSP7	Dusp7
DUSP8	Dusp8
DUSP9	Dusp9
DUT	Dut
DVL1	Dvl1
DVL2	Dvl2
DVL3	Dvl3
DXO	Dxo
DYDC1	Dydc1
DYDC2	Dydc2
DYM	Dym
DYNAP	Dynap
DYNC1H1	Dync1h1
DYNC1I1	Dync1i1
DYNC1I2	Dync1i2
DYNC1LI1	Dync1li1
DYNC1LI2	Dync1li2
DYNC2H1	Dync2h1
DYNC2LI1	Dync2li1
DYNLL1	Dynll1
DYNLL2	Dynll2
DYNLRB1	Dynlrb1
DYNLRB2	Dynlrb2
DYNLT1	Dynlt1a
DYNLT1	Dynlt1b
DYNLT1	Dynlt1c
DYNLT1	Dynlt1f
DYNLT3	Dynlt3
DYRK1A	Dyrk1a
DYRK1B	Dyrk1b
DYRK2	Dyrk2
DYRK3	Dyrk3
DYRK4	Dyrk4
DYSF	Dysf
DYTN	Dytn
DZANK1	Dzank1
DZIP1	Dzip1
DZIP1L	Dzip1l
DZIP3	Dzip3
E2F1	E2f1
E2F2	E2f2
E2F3	E2f3
E2F4	E2f4
E2F5	E2f5
E2F6	E2f6
E2F7	E2f7
E2F8	E2f8
E4F1	E4f1
EAF1	Eaf1
EAF2	Eaf2
EAPP	Eapp
EARS2	Ears2
EBAG9	Ebag9
EBF1	Ebf1
EBF2	Ebf2
EBF3	Ebf3
EBF4	Ebf4
EBI3	Ebi3
EBNA1BP2	Ebna1bp2
EBP	Ebp
EBPL	Ebpl
ECD	Ecd
ECE1	Ece1
ECE2	Ece2
ECEL1	Ecel1
ECH1	Ech1
ECHDC1	Echdc1
ECHDC2	Echdc2
ECHDC3	Echdc3
ECHS1	Echs1
ECI1	Eci1
ECI2	Eci2
ECM1	Ecm1
ECM2	Ecm2
ECSCR	Ecscr
ECSIT	Ecsit
ECT2	Ect2
ECT2L	Ect2l
EDA	Eda
EDA2R	Eda2r
EDAR	Edar
EDARADD	Edaradd
EDC3	Edc3
EDC4	Edc4
EDDM3A	Eddm3b
EDDM3B	Eddm3b
EDEM1	Edem1
EDEM2	Edem2
EDEM3	Edem3
EDF1	Edf1
EDIL3	Edil3
EDN1	Edn1
EDN2	Edn2
EDN3	Edn3
EDNRA	Ednra
EDNRB	Ednrb
EDRF1	Edrf1
EEA1	Eea1
EED	Eed
EEF1A1	Eef1a1
EEF1A2	Eef1a2
EEF1B2	Eef1b2
EEF1D	Eef1d
EEF1E1	Eef1e1
EEF1G	Eef1g
EEF2	Eef2
EEF2K	Eef2k
EEFSEC	Eefsec
EEPD1	Eepd1
EFCAB1	Efcab1
EFCAB10	Efcab10
EFCAB11	Efcab11
EFCAB12	Efcab12
EFCAB13	Gm11639
EFCAB14	Efcab14
EFCAB2	Efcab2
EFCAB3	Efcab3
EFCAB5	Efcab5
EFCAB6	Efcab6
EFCAB7	Efcab7
EFCAB8	Efcab8
EFCAB9	Efcab9
EFCC1	Efcc1
EFEMP1	Efemp1
EFEMP2	Efemp2
EFHB	Efhb
EFHC1	Efhc1
EFHC2	Efhc2
EFHD1	Efhd1
EFHD2	Efhd2
EFNA1	Efna1
EFNA2	Efna2
EFNA3	Efna3
EFNA4	Efna4
EFNA5	Efna5
EFNB1	Efnb1
EFNB2	Efnb2
EFNB3	Efnb3
EFR3A	Efr3a
EFR3B	Efr3b
EFS	Efs
EFTUD2	Eftud2
EGF	Egf
EGFL6	Egfl6
EGFL7	Egfl7
EGFL8	Egfl8
EGFLAM	Egflam
EGFR	Egfr
EGLN1	Egln1
EGLN2	Egln2
EGLN3	Egln3
EGR1	Egr1
EGR2	Egr2
EGR3	Egr3
EGR4	Egr4
EHBP1	Ehbp1
EHBP1L1	Ehbp1l1
EHD1	Ehd1
EHD2	Ehd2
EHD3	Ehd3
EHD4	Ehd4
EHF	Ehf
EHHADH	Ehhadh
EHMT1	Ehmt1
EHMT2	Ehmt2
EI24	Ei24
EID1	Eid1
EID2	Eid2
EID2B	Eid2b
EID3	Eid3
EIF1	Eif1
EIF1AD	Eif1ad
EIF1AX	Eif1ax
EIF1B	Eif1b
EIF2A	Eif2a
EIF2AK1	Eif2ak1
EIF2AK2	Eif2ak2
EIF2AK3	Eif2ak3
EIF2AK4	Eif2ak4
EIF2B1	Eif2b1
EIF2B2	Eif2b2
EIF2B3	Eif2b3
EIF2B4	Eif2b4
EIF2B5	Eif2b5
EIF2D	Eif2d
EIF2S1	Eif2s1
EIF2S2	Eif2s2
EIF2S3	Eif2s3x
EIF3A	Eif3a
EIF3B	Eif3b
EIF3C	Eif3c
EIF3D	Eif3d
EIF3E	Eif3e
EIF3F	Eif3f
EIF3G	Eif3g
EIF3H	Eif3h
EIF3I	Eif3i
EIF3J	Eif3j1
EIF3K	Eif3k
EIF3L	Eif3l
EIF3M	Eif3m
EIF4A1	Eif4a1
EIF4A2	Eif4a2
EIF4A3	Eif4a3
EIF4B	Eif4b
EIF4E	Eif4e
EIF4E1B	Eif4e1b
EIF4E2	Eif4e2
EIF4E3	Eif4e3
EIF4EBP1	Eif4ebp1
EIF4EBP2	Eif4ebp2
EIF4EBP3	Eif4ebp3
EIF4ENIF1	Eif4enif1
EIF4G1	Eif4g1
EIF4G2	Eif4g2
EIF4G3	Eif4g3
EIF4H	Eif4h
EIF5	Eif5
EIF5A	Eif5a
EIF5A2	Eif5a2
EIF5B	Eif5b
EIF6	Eif6
ELAC1	Elac1
ELAC2	Elac2
ELANE	Elane
ELAVL1	Elavl1
ELAVL2	Elavl2
ELAVL3	Elavl3
ELAVL4	Elavl4
ELF1	Elf1
ELF2	Elf2
ELF3	Elf3
ELF4	Elf4
ELF5	Elf5
ELFN1	Elfn1
ELFN2	Elfn2
ELK1	Elk1
ELK3	Elk3
ELK4	Elk4
ELL	Ell
ELL2	Ell2
ELL3	Ell3
ELMO1	Elmo1
ELMO2	Elmo2
ELMO3	Elmo3
ELMOD1	Elmod1
ELMOD2	Elmod2
ELMOD3	Elmod3
ELN	Eln
ELOF1	Elof1
ELOVL1	Elovl1
ELOVL2	Elovl2
ELOVL3	Elovl3
ELOVL4	Elovl4
ELOVL5	Elovl5
ELOVL6	Elovl6
ELOVL7	Elovl7
ELP2	Elp2
ELP3	Elp3
ELP4	Elp4
ELP5	Elp5
ELP6	Elp6
EMB	Emb
EMC1	Emc1
EMC10	Emc10
EMC2	Emc2
EMC3	Emc3
EMC4	Emc4
EMC6	Emc6
EMC7	Emc7
EMC8	Emc8
EMC9	Emc9
EMCN	Emcn
EMD	Emd
EME1	Eme1
EME2	Eme2
EMG1	Emg1
EMID1	Emid1
EMILIN1	Emilin1
EMILIN2	Emilin2
EMILIN3	Emilin3
EML1	Eml1
EML2	Eml2
EML3	Eml3
EML4	Eml4
EML5	Eml5
EML6	Eml6
EMP1	Emp1
EMP2	Emp2
EMP3	Emp3
EMX1	Emx1
EMX2	Emx2
EMX2OS	Emx2os
EN1	En1
EN2	En2
ENAH	Enah
ENAM	Enam
ENC1	Enc1
ENDOD1	Endod1
ENDOG	Endog
ENDOU	Endou
ENDOV	Endov
ENG	Eng
ENGASE	Engase
ENHO	Enho
ENKD1	Enkd1
ENKUR	Enkur
ENO1	Eno1
ENO2	Eno2
ENO3	Eno3
ENO4	Eno4
ENOPH1	Enoph1
ENOX1	Enox1
ENOX2	Enox2
ENPEP	Enpep
ENPP1	Enpp1
ENPP2	Enpp2
ENPP3	Enpp3
ENPP4	Enpp4
ENPP5	Enpp5
ENPP6	Enpp6
ENPP7	Enpp7
ENSA	Ensa
ENTHD1	Enthd1
ENTPD1	Entpd1
ENTPD2	Entpd2
ENTPD3	Entpd3
ENTPD4	Entpd4
ENTPD4	Entpd4b
ENTPD5	Entpd5
ENTPD6	Entpd6
ENTPD7	Entpd7
ENTPD8	Entpd8
ENY2	Eny2
EOGT	Eogt
EOMES	Eomes
EP300	Ep300
EP400	Ep400
EPAS1	Epas1
EPB41	Epb41
EPB41L1	Epb41l1
EPB41L2	Epb41l2
EPB41L3	Epb41l3
EPB41L4A	Epb41l4a
EPB41L4B	Epb41l4b
EPB41L5	Epb41l5
EPB42	Epb42
EPC1	Epc1
EPC2	Epc2
EPCAM	Epcam
EPDR1	Epdr1
EPG5	Epg5
EPGN	Epgn
EPHA1	Epha1
EPHA10	Epha10
EPHA2	Epha2
EPHA3	Epha3
EPHA4	Epha4
EPHA5	Epha5
EPHA6	Epha6
EPHA7	Epha7
EPHA8	Epha8
EPHB1	Ephb1
EPHB2	Ephb2
EPHB3	Ephb3
EPHB4	Ephb4
EPHB6	Ephb6
EPHX1	Ephx1
EPHX2	Ephx2
EPHX3	Ephx3
EPHX4	Ephx4
EPM2A	Epm2a
EPM2AIP1	Epm2aip1
EPN1	Epn1
EPN2	Epn2
EPN3	Epn3
EPO	Epo
EPOR	Epor
EPPIN	Eppin
EPPK1	Eppk1
EPS15	Eps15
EPS15L1	Eps15l1
EPS8	Eps8
EPS8L1	Eps8l1
EPS8L2	Eps8l2
EPS8L3	Eps8l3
EPSTI1	Epsti1
EPX	Epx
EPYC	Epyc
EQTN	Eqtn
ERAL1	Eral1
ERAP1	Erap1
ERAS	Eras
ERBB2	Erbb2
ERBB3	Erbb3
ERBB4	Erbb4
ERC1	Erc1
ERC2	Erc2
ERCC1	Ercc1
ERCC2	Ercc2
ERCC3	Ercc3
ERCC4	Ercc4
ERCC5	Ercc5
ERCC6	Ercc6
ERCC6L	Ercc6l
ERCC6L2	Ercc6l2
ERCC8	Ercc8
EREG	Ereg
ERF	Erf
ERG	Erg
ERGIC1	Ergic1
ERGIC2	Ergic2
ERGIC3	Ergic3
ERH	Erh
ERI1	Eri1
ERI2	Eri2
ERI3	Eri3
ERICH1	Erich1
ERICH2	Erich2
ERLEC1	Erlec1
ERLIN1	Erlin1
ERLIN2	Erlin2
ERMAP	Ermap
ERMARD	Ermard
ERMN	Ermn
ERMP1	Ermp1
ERN1	Ern1
ERN2	Ern2
ERP27	Erp27
ERP29	Erp29
ERP44	Erp44
ERRFI1	Errfi1
ERVFRD-1	Synb
ESAM	Esam
ESCO1	Esco1
ESCO2	Esco2
ESD	Esd
ESF1	Esf1
ESM1	Esm1
ESPL1	Espl1
ESPN	Espn
ESPNL	Espnl
ESR1	Esr1
ESR2	Esr2
ESRP1	Esrp1
ESRP2	Esrp2
ESRRA	Esrra
ESRRB	Esrrb
ESRRG	Esrrg
ESX1	Esx1
ESYT1	Esyt1
ESYT2	Esyt2
ESYT3	Esyt3
ETAA1	Etaa1
ETF1	Etf1
ETFA	Etfa
ETFB	Etfb
ETFDH	Etfdh
ETHE1	Ethe1
ETNK1	Etnk1
ETNK2	Etnk2
ETNPPL	Etnppl
ETS1	Ets1
ETS2	Ets2
ETV1	Etv1
ETV2	Etv2
ETV3	Etv3
ETV4	Etv4
ETV5	Etv5
ETV6	Etv6
EVA1A	Eva1a
EVA1B	Eva1b
EVA1C	Eva1c
EVC	Evc
EVC2	Evc2
EVI2A	Evi2a
EVI2B	Evi2b
EVI5	Evi5
EVI5L	Evi5l
EVL	Evl
EVPL	Evpl
EVX1	Evx1
EVX2	Evx2
EWSR1	Ewsr1
EXD1	Exd1
EXD2	Exd2
EXO1	Exo1
EXO5	Exo5
EXOC1	Exoc1
EXOC2	Exoc2
EXOC3	Exoc3
EXOC3L1	Exoc3l
EXOC3L2	Exoc3l2
EXOC3L4	Exoc3l4
EXOC4	Exoc4
EXOC5	Exoc5
EXOC6	Exoc6
EXOC6B	Exoc6b
EXOC7	Exoc7
EXOC8	Exoc8
EXOG	Exog
EXOSC1	Exosc1
EXOSC10	Exosc10
EXOSC2	Exosc2
EXOSC3	Exosc3
EXOSC4	Exosc4
EXOSC5	Exosc5
EXOSC6	Exosc6
EXOSC7	Exosc7
EXOSC8	Exosc8
EXOSC9	Exosc9
EXPH5	Exph5
EXT1	Ext1
EXT2	Ext2
EXTL1	Extl1
EXTL2	Extl2
EXTL3	Extl3
EYA1	Eya1
EYA2	Eya2
EYA3	Eya3
EYA4	Eya4
EZH1	Ezh1
EZH2	Ezh2
EZR	Ezr
F10	F10
F11	F11
F11R	F11r
F12	F12
F13A1	F13a1
F13B	F13b
F2	F2
F2R	F2r
F2RL1	F2rl1
F2RL2	F2rl2
F2RL3	F2rl3
F3	F3
F5	F5
F7	F7
F8	F8
F8A1	F8a
F8A2	F8a
F8A3	F8a
F9	F9
FA2H	Fa2h
FAAH	Faah
FABP1	Fabp1
FABP12	Fabp12
FABP2	Fabp2
FABP3	Fabp3
FABP4	Fabp4
FABP5	Fabp5
FABP6	Fabp6
FABP7	Fabp7
FABP9	Fabp9
FADD	Fadd
FADS1	Fads1
FADS2	Fads2
FADS3	Fads3
FADS6	Fads6
FAF1	Faf1
FAF2	Faf2
FAH	Fah
FAHD1	Fahd1
FAHD2A	Fahd2a
FAIM	Faim
FAIM2	Faim2
FAM102A	Fam102a
FAM102B	Fam102b
FAM104A	Fam104a
FAM107A	Fam107a
FAM107B	Fam107b
FAM110A	Fam110a
FAM110B	Fam110b
FAM110C	Fam110c
FAM110D	Grrp1
FAM111A	Fam111a
FAM114A1	Fam114a1
FAM114A2	Fam114a2
FAM117A	Fam117a
FAM117B	Fam117b
FAM118A	Fam118a
FAM118B	Fam118b
FAM120A	Fam120a
FAM120B	Fam120b
FAM120C	Fam120c
FAM122A	Fam122a
FAM122B	Fam122b
FAM122C	Fam122c
FAM124A	Fam124a
FAM124B	Fam124b
FAM126A	Fam126a
FAM126B	Fam126b
FAM131A	Fam131a
FAM131B	Fam131b
FAM131C	Fam131c
FAM133B	Fam133b
FAM135A	Fam135a
FAM135B	Fam135b
FAM136A	Fam136a
FAM13A	Fam13a
FAM13B	Fam13b
FAM13C	Fam13c
FAM149A	Fam149a
FAM149B1	Fam149b
FAM151A	Fam151a
FAM151B	Fam151b
FAM155A	Fam155a
FAM155B	Tmem28
FAM160A1	Fam160a1
FAM160A2	Fam160a2
FAM160B1	Fam160b1
FAM160B2	Fam160b2
FAM161A	Fam161a
FAM161B	Fam161b
FAM162A	Fam162a
FAM162B	Fam162b
FAM163A	Fam163a
FAM163B	Fam163b
FAM166A	Fam166a
FAM166B	Fam166b
FAM167A	Fam167a
FAM167B	Fam167b
FAM168A	Fam168a
FAM168B	Fam168b
FAM169A	Fam169a
FAM169B	Fam169b
FAM170A	Fam170a
FAM170B	Fam170b
FAM171A1	Fam171a1
FAM171A2	Fam171a2
FAM171B	Fam171b
FAM172A	Fam172a
FAM174A	Fam174a
FAM174B	Fam174b
FAM177A1	Fam177a
FAM178B	Fam178b
FAM180A	Fam180a
FAM181A	Fam181a
FAM181B	Fam181b
FAM183A	Fam183b
FAM184A	Fam184a
FAM184B	Fam184b
FAM185A	Fam185a
FAM186A	Fam186a
FAM186B	Fam186b
FAM187A	Fam187a
FAM187B	Fam187b
FAM189A1	Fam189a1
FAM189A2	Fam189a2
FAM189B	Fam189b
FAM193A	Fam193a
FAM193B	Fam193b
FAM199X	Fam199x
FAM204A	Fam204a
FAM205A	Fam205a1
FAM205A	Fam205a2
FAM205A	Fam205a3
FAM205A	Fam205a4
FAM207A	Fam207a
FAM209A	Fam209
FAM209B	Fam209
FAM20A	Fam20a
FAM20B	Fam20b
FAM20C	Fam20c
FAM210A	Fam210a
FAM210B	Fam210b
FAM214A	Fam214a
FAM214B	Fam214b
FAM216A	Fam216a
FAM216B	Fam216b
FAM217A	Fam217a
FAM217B	Fam217b
FAM219A	Fam219a
FAM219B	Fam219b
FAM220A	Fam220a
FAM221A	Fam221a
FAM221B	Fam221b
FAM222A	Fam222a
FAM222B	Fam222b
FAM227A	Fam227a
FAM227B	Fam227b
FAM228A	Fam228a
FAM228B	Fam228b
FAM229A	Fam229a
FAM229B	Fam229b
FAM24A	Fam24a
FAM24B	Fam24b
FAM25A	Fam25c
FAM32A	Fam32a
FAM3A	Fam3a
FAM3B	Fam3b
FAM3C	Fam3c
FAM3D	Oit1
FAM43A	Fam43a
FAM43B	Fam43b
FAM47C	Fam47c
FAM47E	Fam47e
FAM50A	Fam50a
FAM50B	Fam50b
FAM53A	Fam53a
FAM53B	Fam53b
FAM53C	Fam53c
FAM71A	Fam71a
FAM71B	Fam71b
FAM71D	Fam71d
FAM71E1	Fam71e1
FAM71E2	Fam71e2
FAM71F1	Fam71f1
FAM71F2	Fam71f2
FAM72A	Fam72a
FAM76A	Fam76a
FAM76B	Fam76b
FAM78A	Fam78a
FAM78B	Fam78b
FAM81A	Fam81a
FAM81B	Fam81b
FAM83A	Fam83a
FAM83B	Fam83b
FAM83C	Fam83c
FAM83D	Fam83d
FAM83E	Fam83e
FAM83F	Fam83f
FAM83G	Fam83g
FAM83H	Fam83h
FAM89A	Fam89a
FAM89B	Fam89b
FAM8A1	Fam8a1
FAM91A1	Fam91a1
FAM92B	Fam92b
FAM98A	Fam98a
FAM98B	Fam98b
FAM98C	Fam98c
FAN1	Fan1
FANCA	Fanca
FANCB	Fancb
FANCC	Fancc
FANCD2	Fancd2
FANCD2OS	Fancd2os
FANCE	Fance
FANCF	Fancf
FANCG	Fancg
FANCI	Fanci
FANCL	Fancl
FANCM	Fancm
FANK1	Fank1
FAP	Fap
FAR1	Far1
FAR2	Far2
FARP1	Farp1
FARP2	Farp2
FARS2	Fars2
FARSA	Farsa
FARSB	Farsb
FAS	Fas
FASLG	Fasl
FASN	Fasn
FASTK	Fastk
FASTKD1	Fastkd1
FASTKD2	Fastkd2
FASTKD3	Fastkd3
FASTKD5	Fastkd5
FAT1	Fat1
FAT2	Fat2
FAT3	Fat3
FAT4	Fat4
FATE1	Fate1
FAU	Fau
FAXC	Faxc
FBF1	Fbf1
FBL	Fbl
FBLIM1	Fblim1
FBLL1	Fbll1
FBLN1	Fbln1
FBLN2	Fbln2
FBLN5	Fbln5
FBLN7	Fbln7
FBN1	Fbn1
FBN2	Fbn2
FBP1	Fbp1
FBP2	Fbp2
FBRS	Fbrs
FBRSL1	Fbrsl1
FBXL12	Fbxl12
FBXL13	Fbxl13
FBXL14	Fbxl14
FBXL15	Fbxl15
FBXL16	Fbxl16
FBXL17	Fbxl17
FBXL18	Fbxl18
FBXL19	Fbxl19
FBXL2	Fbxl2
FBXL20	Fbxl20
FBXL22	Fbxl22
FBXL3	Fbxl3
FBXL4	Fbxl4
FBXL5	Fbxl5
FBXL6	Fbxl6
FBXL7	Fbxl7
FBXL8	Fbxl8
FBXO10	Fbxo10
FBXO11	Fbxo11
FBXO15	Fbxo15
FBXO16	Fbxo16
FBXO17	Fbxo17
FBXO2	Fbxo2
FBXO21	Fbxo21
FBXO22	Fbxo22
FBXO24	Fbxo24
FBXO25	Fbxo25
FBXO27	Fbxo27
FBXO28	Fbxo28
FBXO3	Fbxo3
FBXO30	Fbxo30
FBXO31	Fbxo31
FBXO32	Fbxo32
FBXO33	Fbxo33
FBXO34	Fbxo34
FBXO36	Fbxo36
FBXO38	Fbxo38
FBXO39	Fbxo39
FBXO4	Fbxo4
FBXO40	Fbxo40
FBXO41	Fbxo41
FBXO42	Fbxo42
FBXO43	Fbxo43
FBXO44	Fbxo44
FBXO45	Fbxo45
FBXO46	Fbxo46
FBXO47	Fbxo47
FBXO48	Fbxo48
FBXO5	Fbxo5
FBXO6	Fbxo6
FBXO7	Fbxo7
FBXO8	Fbxo8
FBXO9	Fbxo9
FBXW10	Fbxw10
FBXW11	Fbxw11
FBXW12	Fbxw13
FBXW12	Fbxw14
FBXW12	Fbxw15
FBXW12	Fbxw16
FBXW12	Fbxw18
FBXW12	Fbxw19
FBXW12	Fbxw20
FBXW12	Fbxw21
FBXW12	Fbxw22
FBXW12	Fbxw24
FBXW12	Fbxw25
FBXW12	Fbxw26
FBXW12	Fbxw28
FBXW2	Fbxw2
FBXW4	Fbxw4
FBXW5	Fbxw5
FBXW7	Fbxw7
FBXW8	Fbxw8
FBXW9	Fbxw9
FCAMR	Fcamr
FCER1A	Fcer1a
FCER1G	Fcer1g
FCER2	Fcer2a
FCF1	Fcf1
FCGBP	Fcgbp
FCGR1A	Fcgr1
FCGR2A	Fcgr3
FCGR2B	Fcgr2b
FCGR3A	Fcgr4
FCGR3B	Fcgr4
FCGRT	Fcgrt
FCHO1	Fcho1
FCHO2	Fcho2
FCHSD1	Fchsd1
FCHSD2	Fchsd2
FCN1	Fcnb
FCN2	Fcnb
FCRL1	Fcrl1
FCRL5	Fcrl5
FCRL6	Fcrl6
FCRLA	Fcrla
FCRLB	Fcrlb
FDFT1	Fdft1
FDPS	Fdps
FDX1	Fdx1
FDXACB1	Fdxacb1
FDXR	Fdxr
FECH	Fech
FEM1A	Fem1a
FEM1B	Fem1b
FEM1C	Fem1c
FEN1	Fen1
FER	Fer
FER1L6	Fer1l6
FERD3L	Ferd3l
FERMT1	Fermt1
FERMT2	Fermt2
FERMT3	Fermt3
FES	Fes
FETUB	Fetub
FEV	Fev
FEZ1	Fez1
FEZ2	Fez2
FEZF1	Fezf1
FEZF2	Fezf2
FFAR1	Ffar1
FFAR2	Ffar2
FFAR3	Ffar3
FFAR4	Ffar4
FGA	Fga
FGB	Fgb
FGD1	Fgd1
FGD2	Fgd2
FGD3	Fgd3
FGD4	Fgd4
FGD5	Fgd5
FGD6	Fgd6
FGF1	Fgf1
FGF10	Fgf10
FGF11	Fgf11
FGF12	Fgf12
FGF13	Fgf13
FGF14	Fgf14
FGF16	Fgf16
FGF17	Fgf17
FGF18	Fgf18
FGF19	Fgf15
FGF2	Fgf2
FGF20	Fgf20
FGF21	Fgf21
FGF22	Fgf22
FGF23	Fgf23
FGF3	Fgf3
FGF4	Fgf4
FGF5	Fgf5
FGF6	Fgf6
FGF7	Fgf7
FGF8	Fgf8
FGF9	Fgf9
FGFBP1	Fgfbp1
FGFBP3	Fgfbp3
FGFR1	Fgfr1
FGFR1OP	Fgfr1op
FGFR1OP2	Fgfr1op2
FGFR2	Fgfr2
FGFR3	Fgfr3
FGFR4	Fgfr4
FGFRL1	Fgfrl1
FGG	Fgg
FGGY	Fggy
FGL1	Fgl1
FGL2	Fgl2
FGR	Fgr
FH	Fh1
FHAD1	Fhad1
FHDC1	Fhdc1
FHIT	Fhit
FHL1	Fhl1
FHL2	Fhl2
FHL3	Fhl3
FHL5	Fhl5
FHOD1	Fhod1
FHOD3	Fhod3
FIBCD1	Fibcd1
FIBIN	Fibin
FIBP	Fibp
FICD	Ficd
FIG4	Fig4
FIGLA	Figla
FIGN	Fign
FIGNL1	Fignl1
FILIP1	Filip1
FILIP1L	Filip1l
FIP1L1	Fip1l1
FIS1	Fis1
FITM1	Fitm1
FITM2	Fitm2
FIZ1	Fiz1
FJX1	Fjx1
FKBP10	Fkbp10
FKBP11	Fkbp11
FKBP14	Fkbp14
FKBP15	Fkbp15
FKBP1A	Fkbp1a
FKBP1B	Fkbp1b
FKBP2	Fkbp2
FKBP3	Fkbp3
FKBP4	Fkbp4
FKBP5	Fkbp5
FKBP6	Fkbp6
FKBP7	Fkbp7
FKBP8	Fkbp8
FKBP9	Fkbp9
FKBPL	Fkbpl
FKRP	Fkrp
FKTN	Fktn
FLAD1	Flad1
FLCN	Flcn
FLG2	Flg2
FLI1	Fli1
FLII	Flii
FLNA	Flna
FLNB	Flnb
FLNC	Flnc
FLOT1	Flot1
FLOT2	Flot2
FLRT1	Flrt1
FLRT2	Flrt2
FLRT3	Flrt3
FLT1	Flt1
FLT3	Flt3
FLT3LG	Flt3l
FLT4	Flt4
FLVCR1	Flvcr1
FLVCR2	Flvcr2
FLYWCH1	Flywch1
FLYWCH2	Flywch2
FMN1	Fmn1
FMN2	Fmn2
FMNL1	Fmnl1
FMNL2	Fmnl2
