hgGenes	mmGenes
CORIN	Corin
NFXL1	Nfxl1
NIPAL1	Nipal1
CNGA1	Cnga1
TXK	Txk
TEC	Tec
SLAIN2	Slain2
SLC10A4	Slc10a4
ZAR1	Zar1
FRYL	Fryl
OCIAD1	Ociad1
OCIAD2	Ociad2
CWH43	Cwh43
DCUN1D4	Dcun1d4
LRRC66	Lrrc66
SGCB	Sgcb
SPATA18	Spata18
USP46	Usp46
DANCR	Dancr
RASL11B	Rasl11b
SCFD2	Scfd2
FIP1L1	Fip1l1
LNX1	Lnx1
CHIC2	Chic2
GSX2	Gsx2
PDGFRA	Pdgfra
KIT	Kit
KDR	Kdr
SRD5A3	Srd5a3
TMEM165	Tmem165
CLOCK	Clock
PDCL2	Pdcl2
NMU	Nmu
EXOC1	Exoc1
CEP135	Cep135
AASDH	Aasdh
PPAT	Ppat
PAICS	Paics
SRP72	Srp72
ARL9	Arl9
THEGL	Thegl
HOPX	Hopx
SPINK2	Spink2
REST	Rest
NOA1	Noa1
POLR2B	Polr2b
IGFBP7	Igfbp7
TECRL	Tecrl
EPHA5	Epha5
STAP1	Stap1
UBA6	Uba6
GNRHR	Gnrhr
TMPRSS11D	Tmprss11d
TMPRSS11A	Tmprss11a
TMPRSS11F	Tmprss11f
TMPRSS11B	Tmprss11b
YTHDC1	Ythdc1
TMPRSS11E	Tmprss11e
UGT2A3	Ugt2a3
UGT2A1	Ugt2a1
UGT2A2	Ugt2a2
SULT1B1	Sult1b1
SULT1E1	Sult1e1
CSN1S1	Csn1s1
CSN2	Csn2
ODAM	Odam
CSN3	Csn3
CABS1	Cabs1
SMR3A	Smr3a
PROL1	Prol1
AMTN	Amtn
AMBN	Ambn
ENAM	Enam
UTP3	Utp3
RUFY3	Rufy3
GRSF1	Grsf1
MOB1B	Mob1b
DCK	Dck
SLC4A4	Slc4a4
GC	Gc
NPFFR2	Npffr2
ADAMTS3	Adamts3
COX18	Cox18
ANKRD17	Ankrd17
SNORA3	Snora3
ALB	Alb
AFP	Afp
AFM	Afm
RASSF6	Rassf6
CXCL1	Cxcl1
PF4	Pf4
PPBP	Ppbp
CXCL5	Cxcl5
CXCL3	Cxcl3
CXCL2	Cxcl2
MTHFD2L	Mthfd2l
EPGN	Epgn
EREG	Ereg
AREG	Areg
BTC	Btc
PARM1	Parm1
RCHY1	Rchy1
THAP6	Thap6
CDKL2	Cdkl2
G3BP2	G3bp2
USO1	Uso1
PPEF2	Ppef2
NAAA	Naaa
SDAD1	Sdad1
CXCL9	Cxcl9
ART3	Art3
CXCL10	Cxcl10
CXCL11	Cxcl11
NUP54	Nup54
SCARB2	Scarb2
FAM47E	Fam47e
CCDC158	Ccdc158
SHROOM3	Shroom3
SOWAHB	Sowahb
SEPT11	Sept11
CCNI	Ccni
CCNG2	Ccng2
CXCL13	Cxcl13
CNOT6L	Cnot6l
MRPL1	Mrpl1
FRAS1	Fras1
ANXA3	Anxa3
BMP2K	Bmp2k
PAQR3	Paqr3
NAA11	Naa11
GK2	Gk2
ANTXR2	Antxr2
PRDM8	Prdm8
FGF5	Fgf5
BMP3	Bmp3
PRKG2	Prkg2
RASGEF1B	Rasgef1b
HNRNPD	Hnrnpd
HNRNPDL	Hnrnpdl
ENOPH1	Enoph1
TMEM150C	Tmem150c
SEC31A	Sec31a
LIN54	Lin54
COPS4	Cops4
PLAC8	Plac8
COQ2	Coq2
HPSE	Hpse
HELQ	Helq
MRPS18C	Mrps18c
NKX6-1	Nkx6-1
CDS1	Cds1
WDFY3	Wdfy3
ARHGAP24	Arhgap24
MAPK10	Mapk10
PTPN13	Ptpn13
SLC10A6	Slc10a6
AFF1	Aff1
KLHL8	Klhl8
HSD17B13	Hsd17b13
HSD17B11	Hsd17b11
NUDT9	Nudt9
SPARCL1	Sparcl1
DSPP	Dspp
DMP1	Dmp1
IBSP	Ibsp
MEPE	Mepe
SPP1	Spp1
PKD2	Pkd2
ABCG2	Abcg2
PPM1K	Ppm1k
HERC6	Herc6
PYURF	Pyurf
HERC3	Herc3
NAP1L5	Nap1l5
FAM13A	Fam13a
TIGD2	Tigd2
GPRIN3	Gprin3
SNCA	Snca
MMRN1	Mmrn1
CCSER1	Ccser1
GRID2	Grid2
ATOH1	Atoh1
SMARCAD1	Smarcad1
HPGDS	Hpgds
PDLIM5	Pdlim5
BMPR1B	Bmpr1b
UNC5C	Unc5c
PDHA2	Pdha2
STPG2	Stpg2
RAP1GDS1	Rap1gds1
TSPAN5	Tspan5
EIF4E	Eif4e
METAP1	Metap1
ADH5	Adh5
ADH4	Adh4
ADH7	Adh7
TRMT10A	Trmt10a
MTTP	Mttp
DAPP1	Dapp1
LAMTOR3	Lamtor3
DNAJB14	Dnajb14
H2AFZ	H2afz
DDIT4L	Ddit4l
EMCN	Emcn
PPP3CA	Ppp3ca
BANK1	Bank1
SLC39A8	Slc39a8
NFKB1	Nfkb1
MANBA	Manba
UBE2D3	Ube2d3
CISD2	Cisd2
SLC9B1	Slc9b1
SLC9B2	Slc9b2
BDH2	Bdh2
CENPE	Cenpe
TACR3	Tacr3
CXXC4	Cxxc4
TET2	Tet2
PPA2	Ppa2
ARHGEF38	Arhgef38
INTS12	Ints12
GSTCD	Gstcd
NPNT	Npnt
TBCK	Tbck
AIMP1	Aimp1
GIMD1	Gimd1
DKK2	Dkk2
PAPSS1	Papss1
SGMS2	Sgms2
CYP2U1	Cyp2u1
HADH	Hadh
LEF1	Lef1
RPL34	Rpl34
OSTC	Ostc
ETNPPL	Etnppl
COL25A1	Col25a1
SEC24B	Sec24b
CASP6	Casp6
PLA2G12A	Pla2g12a
CFI	Cfi
GAR1	Gar1
RRH	Rrh
LRIT3	Lrit3
EGF	Egf
ELOVL6	Elovl6
ENPEP	Enpep
PITX2	Pitx2
AP1AR	Ap1ar
TIFA	Tifa
ALPK1	Alpk1
NEUROG2	Neurog2
LARP7	Larp7
MIR302B	Mir302b
MIR367	Mir367
MIR302D	Mir302d
MIR302A	Mir302a
MIR302C	Mir302c
ANK2	Ank2
CAMK2D	Camk2d
ARSJ	Arsj
NDST4	Ndst4
TRAM1L1	Tram1l1
NDST3	Ndst3
SNHG8	Snhg8
PRSS12	Prss12
METTL14	Mettl14
SEC24D	Sec24d
SYNPO2	Synpo2
MYOZ2	Myoz2
USP53	Usp53
FABP2	Fabp2
PDE5A	Pde5a
MAD2L1	Mad2l1
PRDM5	Prdm5
NDNF	Ndnf
TNIP3	Tnip3
QRFPR	Qrfpr
ANXA5	Anxa5
EXOSC9	Exosc9
CCNA2	Ccna2
BBS7	Bbs7
TRPC3	Trpc3
ADAD1	Adad1
IL2	Il2
IL21	Il21
BBS12	Bbs12
FGF2	Fgf2
NUDT6	Nudt6
SPATA5	Spata5
SPRY1	Spry1
ANKRD50	Ankrd50
FAT4	Fat4
INTU	Intu
SLC25A31	Slc25a31
HSPA4L	Hspa4l
PLK4	Plk4
MFSD8	Mfsd8
LARP1B	Larp1b
PGRMC2	Pgrmc2
JADE1	Jade1
SCLT1	Sclt1
PCDH10	Pcdh10
PABPC4L	Pabpc4l
PCDH18	Pcdh18
SLC7A11	Slc7a11
ELF2	Elf2
MGARP	Mgarp
NDUFC1	Ndufc1
NAA15	Naa15
RAB33B	Rab33b
SETD7	Setd7
MGST2	Mgst2
MAML3	Maml3
SCOC	Scoc
CLGN	Clgn
ELMOD2	Elmod2
UCP1	Ucp1
TBC1D9	Tbc1d9
RNF150	Rnf150
IL15	Il15
INPP4B	Inpp4b
USP38	Usp38
GAB1	Gab1
SMARCA5	Smarca5
FREM3	Frem3
GYPA	Gypa
HHIP	Hhip
ANAPC10	Anapc10
ABCE1	Abce1
OTUD4	Otud4
SMAD1	Smad1
MMAA	Mmaa
LSM6	Lsm6
SLC10A7	Slc10a7
POU4F2	Pou4f2
TTC29	Ttc29
EDNRA	Ednra
TMEM184C	Tmem184c
ARHGAP10	Arhgap10
NR3C2	Nr3c2
DCLK2	Dclk2
LRBA	Lrba
MAB21L2	Mab21l2
SH3D19	Sh3d19
SNORD73A	Snord73a
PRSS48	Prss48
FAM160A1	Fam160a1
FBXW7	Fbxw7
TMEM154	Tmem154
TIGD4	Tigd4
ARFIP1	Arfip1
FHDC1	Fhdc1
TRIM2	Trim2
MND1	Mnd1
TLR2	Tlr2
SFRP2	Sfrp2
DCHS2	Dchs2
PLRG1	Plrg1
FGB	Fgb
FGA	Fga
FGG	Fgg
LRAT	Lrat
RBM46	Rbm46
NPY2R	Npy2r
MAP9	Map9
ASIC5	Asic5
TDO2	Tdo2
CTSO	Ctso
PDGFC	Pdgfc
GLRB	Glrb
GRIA2	Gria2
FAM198B	Fam198b
TMEM144	Tmem144
RXFP1	Rxfp1
ETFDH	Etfdh
PPID	Ppid
FNIP2	Fnip2
RAPGEF2	Rapgef2
FSTL5	Fstl5
NAF1	Naf1
NPY1R	Npy1r
NPY5R	Npy5r
TKTL2	Tktl2
TMA16	Tma16
MARCH1	March1
TRIM61	Trim61
TRIM60	Trim60
TMEM192	Tmem192
KLHL2	Klhl2
MSMO1	Msmo1
CPE	Cpe
TLL1	Tll1
SPOCK3	Spock3
ANXA10	Anxa10
DDX60	Ddx60
PALLD	Palld
CBR4	Cbr4
SH3RF1	Sh3rf1
NEK1	Nek1
CLCN3	Clcn3
MFAP3L	Mfap3l
AADAT	Aadat
GALNTL6	Galntl6
GALNT7	Galnt7
HMGB2	Hmgb2
SAP30	Sap30
SCRG1	Scrg1
HAND2	Hand2
FBXO8	Fbxo8
CEP44	Cep44
HPGD	Hpgd
GLRA3	Glra3
ADAM29	Adam29
GPM6A	Gpm6a
WDR17	Wdr17
SPATA4	Spata4
ASB5	Asb5
SPCS3	Spcs3
VEGFC	Vegfc
NEIL3	Neil3
AGA	Aga
SNORD65	Snord65
TENM3	Tenm3
DCTD	Dctd
WWC2	Wwc2
CLDN22	Cldn22
CLDN24	Cldn24
CDKN2AIP	Cdkn2aip
ING2	Ing2
TRAPPC11	Trappc11
STOX2	Stox2
ENPP6	Enpp6
IRF2	Irf2
CASP3	Casp3
PRIMPOL	Primpol
CENPU	Cenpu
ACSL1	Acsl1
HELT	Helt
SLC25A4	Slc25a4
SNX25	Snx25
LRP2BP	Lrp2bp
ANKRD37	Ankrd37
UFSP2	Ufsp2
CCDC110	Ccdc110
PDLIM3	Pdlim3
SORBS2	Sorbs2
TLR3	Tlr3
FAM149A	Fam149a
KLKB1	Klkb1
F11	F11
MTNR1A	Mtnr1a
FAT1	Fat1
ZFP42	Zfp42
TRIML2	Triml2
TRIML1	Triml1
FRG1	Frg1
LRRC14B	Lrrc14b
CCDC127	Ccdc127
SDHA	Sdha
PDCD6	Pdcd6
AHRR	Ahrr
EXOC3	Exoc3
SLC9A3	Slc9a3
CEP72	Cep72
TPPP	Tppp
ZDHHC11	Zdhhc11
BRD9	Brd9
TRIP13	Trip13
NKD2	Nkd2
SLC12A7	Slc12a7
SLC6A19	Slc6a19
SLC6A18	Slc6a18
TERT	Tert
CLPTM1L	Clptm1l
SLC6A3	Slc6a3
LPCAT1	Lpcat1
MRPL36	Mrpl36
NDUFS6	Ndufs6
IRX4	Irx4
IRX2	Irx2
IRX1	Irx1
ADAMTS16	Adamts16
MED10	Med10
UBE2QL1	Ube2ql1
NSUN2	Nsun2
SRD5A1	Srd5a1
PAPD7	Papd7
ADCY2	Adcy2
MTRR	Mtrr
FASTKD3	Fastkd3
SEMA5A	Sema5a
SNHG18	Snhg18
SNORD123	Snord123
FAM173B	Fam173b
CCT5	Cct5
CMBL	Cmbl
MARCH6	March6
ROPN1L	Ropn1l
ANKRD33B	Ankrd33b
DAP	Dap
CTNND2	Ctnnd2
DNAH5	Dnah5
TRIO	Trio
FAM105A	Fam105a
FBXL7	Fbxl7
MARCH11	March11
MYO10	Myo10
BASP1	Basp1
CDH18	Cdh18
CDH12	Cdh12
PRDM9	Prdm9
CDH10	Cdh10
CDH9	Cdh9
CDH6	Cdh6
DROSHA	Drosha
PDZD2	Pdzd2
GOLPH3	Golph3
MTMR12	Mtmr12
ZFR	Zfr
SUB1	Sub1
NPR3	Npr3
TARS	Tars
ADAMTS12	Adamts12
RXFP3	Rxfp3
SLC45A2	Slc45a2
AMACR	Amacr
C1QTNF3	C1qtnf3
RAI14	Rai14
TTC23L	Ttc23l
RAD1	Rad1
BRIX1	Brix1
DNAJC21	Dnajc21
AGXT2	Agxt2
PRLR	Prlr
SPEF2	Spef2
IL7R	Il7r
CAPSL	Capsl
UGT3A1	Ugt3a1
UGT3A2	Ugt3a2
LMBRD2	Lmbrd2
SKP2	Skp2
NADK2	Nadk2
RANBP3L	Ranbp3l
SLC1A3	Slc1a3
NIPBL	Nipbl
NUP155	Nup155
WDR70	Wdr70
GDNF	Gdnf
EGFLAM	Egflam
LIFR	Lifr
OSMR	Osmr
RICTOR	Rictor
FYB	Fyb
C9	C9
DAB2	Dab2
PTGER4	Ptger4
TTC33	Ttc33
PRKAA1	Prkaa1
SNORA57	Snora57
RPL37	Rpl37
SNORD72	Snord72
CARD6	Card6
C7	C7
MROH2B	Mroh2b
C6	C6
PLCXD3	Plcxd3
OXCT1	Oxct1
FBXO4	Fbxo4
GHR	Ghr
CCDC152	Ccdc152
NIM1K	Nim1k
HMGCS1	Hmgcs1
CCL28	Ccl28
PAIP1	Paip1
NNT	Nnt
FGF10	Fgf10
MRPS30	Mrps30
HCN1	Hcn1
EMB	Emb
PARP8	Parp8
ISL1	Isl1
ITGA1	Itga1
PELO	Pelo
ITGA2	Itga2
MOCS2	Mocs2
FST	Fst
NDUFS4	Ndufs4
ARL15	Arl15
HSPB3	Hspb3
SNX18	Snx18
ESM1	Esm1
GZMK	Gzmk
GZMA	Gzma
CDC20B	Cdc20b
GPX8	Gpx8
MIR449A	Mir449a
MIR449B	Mir449b
MIR449C	Mir449c
MCIDAS	Mcidas
CCNO	Ccno
DHX29	Dhx29
SKIV2L2	Skiv2l2
SLC38A9	Slc38a9
DDX4	Ddx4
IL31RA	Il31ra
IL6ST	Il6st
ANKRD55	Ankrd55
MAP3K1	Map3k1
MIER3	Mier3
GPBP1	Gpbp1
ACTBL2	Actbl2
PLK2	Plk2
GAPT	Gapt
RAB3C	Rab3c
PDE4D	Pde4d
MIR582	Mir582
DEPDC1B	Depdc1b
ELOVL7	Elovl7
ERCC8	Ercc8
NDUFAF2	Ndufaf2
SMIM15	Smim15
ZSWIM6	Zswim6
KIF2A	Kif2a
DIMT1	Dimt1
IPO11	Ipo11
HTR1A	Htr1a
RNF180	Rnf180
RGS7BP	Rgs7bp
FAM159B	Fam159b
SREK1IP1	Srek1ip1
CWC27	Cwc27
ADAMTS6	Adamts6
CENPK	Cenpk
PPWD1	Ppwd1
TRIM23	Trim23
TRAPPC13	Trappc13
SGTB	Sgtb
NLN	Nln
SREK1	Srek1
MAST4	Mast4
CD180	Cd180
PIK3R1	Pik3r1
SLC30A5	Slc30a5
CCNB1	Ccnb1
CENPH	Cenph
MRPS36	Mrps36
CDK7	Cdk7
CCDC125	Ccdc125
TAF9	Taf9
RAD17	Rad17
MARVELD2	Marveld2
OCLN	Ocln
SMN1	Smn1
GTF2H2	Gtf2h2
BDP1	Bdp1
MCCC2	Mccc2
CARTPT	Cartpt
MAP1B	Map1b
MRPS27	Mrps27
PTCD2	Ptcd2
TNPO1	Tnpo1
FCHO2	Fcho2
TMEM171	Tmem171
TMEM174	Tmem174
FOXD1	Foxd1
BTF3	Btf3
ANKRA2	Ankra2
UTP15	Utp15
ARHGEF28	Arhgef28
ENC1	Enc1
HEXB	Hexb
GFM2	Gfm2
NSA2	Nsa2
FAM169A	Fam169a
GCNT4	Gcnt4
ANKRD31	Ankrd31
HMGCR	Hmgcr
COL4A3BP	Col4a3bp
POLK	Polk
ANKDD1B	Ankdd1b
POC5	Poc5
SV2C	Sv2c
IQGAP2	Iqgap2
F2RL2	F2rl2
F2R	F2r
F2RL1	F2rl1
S100Z	S100z
CRHBP	Crhbp
AGGF1	Aggf1
ZBED3	Zbed3
SNORA47	Snora47
PDE8B	Pde8b
WDR41	Wdr41
OTP	Otp
TBCA	Tbca
AP3B1	Ap3b1
SCAMP1	Scamp1
LHFPL2	Lhfpl2
ARSB	Arsb
DMGDH	Dmgdh
BHMT2	Bhmt2
BHMT	Bhmt
JMY	Jmy
HOMER1	Homer1
PAPD4	Papd4
CMYA5	Cmya5
MTX3	Mtx3
THBS4	Thbs4
SERINC5	Serinc5
SPZ1	Spz1
ZFYVE16	Zfyve16
FAM151B	Fam151b
ANKRD34B	Ankrd34b
DHFR	Dhfr
MSH3	Msh3
RASGRF2	Rasgrf2
CKMT2	Ckmt2
ZCCHC9	Zcchc9
ACOT12	Acot12
SSBP2	Ssbp2
ATG10	Atg10
RPS23	Rps23
ATP6AP1L	Atp6ap1l
XRCC4	Xrcc4
VCAN	Vcan
HAPLN1	Hapln1
EDIL3	Edil3
COX7C	Cox7c
RASA1	Rasa1
CCNH	Ccnh
TMEM161B	Tmem161b
MEF2C	Mef2c
CETN3	Cetn3
MBLAC2	Mblac2
POLR3G	Polr3g
LYSMD3	Lysmd3
ARRDC3	Arrdc3
NR2F1	Nr2f1
FAM172A	Fam172a
POU5F2	Pou5f2
MCTP1	Mctp1
FAM81B	Fam81b
TTC37	Ttc37
ARSK	Arsk
GPR150	Gpr150
RFESD	Rfesd
SPATA9	Spata9
RHOBTB3	Rhobtb3
GLRX	Glrx
ELL2	Ell2
PCSK1	Pcsk1
CAST	Cast
ERAP1	Erap1
LNPEP	Lnpep
LIX1	Lix1
RIOK2	Riok2
RGMB	Rgmb
CHD1	Chd1
FAM174A	Fam174a
ST8SIA4	St8sia4
SLCO4C1	Slco4c1
PAM	Pam
GIN1	Gin1
PPIP5K2	Ppip5k2
NUDT12	Nudt12
EFNA5	Efna5
FBXL17	Fbxl17
FER	Fer
PJA2	Pja2
MAN2A1	Man2a1
TMEM232	Tmem232
SLC25A46	Slc25a46
TSLP	Tslp
WDR36	Wdr36
CAMK4	Camk4
STARD4	Stard4
NREP	Nrep
EPB41L4A	Epb41l4a
APC	Apc
SRP19	Srp19
REEP5	Reep5
ZRSR1	Zrsr1
DCP2	Dcp2
MCC	Mcc
YTHDC2	Ythdc2
KCNN2	Kcnn2
TRIM36	Trim36
PGGT1B	Pggt1b
CCDC112	Ccdc112
FEM1C	Fem1c
TICAM2	Ticam2
TMED7	Tmed7
CDO1	Cdo1
ATG12	Atg12
AP3S1	Ap3s1
ARL14EPL	Arl14epl
COMMD10	Commd10
SEMA6A	Sema6a
DTWD2	Dtwd2
DMXL1	Dmxl1
TNFAIP8	Tnfaip8
HSD17B4	Hsd17b4
FAM170A	Fam170a
PRR16	Prr16
FTMT	Ftmt
SRFBP1	Srfbp1
LOX	Lox
SNCAIP	Sncaip
SNX2	Snx2
SNX24	Snx24
PPIC	Ppic
PRDM6	Prdm6
CEP120	Cep120
CSNK1G3	Csnk1g3
GRAMD3	Gramd3
ALDH7A1	Aldh7a1
PHAX	Phax
LMNB1	Lmnb1
MARCH3	March3
MEGF10	Megf10
PRRC1	Prrc1
CTXN3	Ctxn3
SLC12A2	Slc12a2
FBN2	Fbn2
SLC27A6	Slc27a6
ISOC1	Isoc1
ADAMTS19	Adamts19
CHSY3	Chsy3
HINT1	Hint1
LYRM7	Lyrm7
CDC42SE2	Cdc42se2
RAPGEF6	Rapgef6
FNIP1	Fnip1
ACSL6	Acsl6
IL3	Il3
CSF2	Csf2
P4HA2	P4ha2
PDLIM4	Pdlim4
SLC22A4	Slc22a4
SLC22A5	Slc22a5
IRF1	Irf1
IL5	Il5
RAD50	Rad50
IL13	Il13
IL4	Il4
KIF3A	Kif3a
SEPT8	Sept8
SOWAHA	Sowaha
SHROOM1	Shroom1
GDF9	Gdf9
UQCRQ	Uqcrq
LEAP2	Leap2
AFF4	Aff4
ZCCHC10	Zcchc10
HSPA4	Hspa4
FSTL4	Fstl4
VDAC1	Vdac1
TCF7	Tcf7
PPP2CA	Ppp2ca
CDKL3	Cdkl3
UBE2B	Ube2b
CDKN2AIPNL	Cdkn2aipnl
JADE2	Jade2
SAR1B	Sar1b
SEC24A	Sec24a
DDX46	Ddx46
TXNDC15	Txndc15
PCBD2	Pcbd2
CATSPER3	Catsper3
PITX1	Pitx1
H2AFY	H2afy
TIFAB	Tifab
NEUROG1	Neurog1
CXCL14	Cxcl14
SLC25A48	Slc25a48
IL9	Il9
LECT2	Lect2
FBXL21	Fbxl21
TGFBI	Tgfbi
SMAD5	Smad5
TRPC7	Trpc7
SPOCK1	Spock1
KLHL3	Klhl3
MIR874	Mir874
HNRNPA0	Hnrnpa0
NPY6R	Npy6r
MYOT	Myot
PKD2L2	Pkd2l2
FAM13B	Fam13b
WNT8A	Wnt8a
NME5	Nme5
BRD8	Brd8
KIF20A	Kif20a
CDC23	Cdc23
GFRA3	Gfra3
CDC25C	Cdc25c
FAM53C	Fam53c
KDM3B	Kdm3b
REEP2	Reep2
EGR1	Egr1
ETF1	Etf1
HSPA9	Hspa9
CTNNA1	Ctnna1
LRRTM2	Lrrtm2
SIL1	Sil1
MATR3	Matr3
SNORA74A	Snora74a
PAIP2	Paip2
SLC23A1	Slc23a1
MZB1	Mzb1
PROB1	Prob1
SPATA24	Spata24
DNAJC18	Dnajc18
ECSCR	Ecscr
TMEM173	Tmem173
CXXC5	Cxxc5
PSD2	Psd2
NRG2	Nrg2
PURA	Pura
IGIP	Igip
CYSTM1	Cystm1
PFDN1	Pfdn1
HBEGF	Hbegf
SLC4A9	Slc4a9
ANKHD1	Ankhd1
SRA1	Sra1
EIF4EBP3	Eif4ebp3
SLC35A4	Slc35a4
CD14	Cd14
NDUFA2	Ndufa2
TMCO6	Tmco6
IK	Ik
WDR55	Wdr55
DND1	Dnd1
HARS	Hars
HARS2	Hars2
ZMAT2	Zmat2
PCDHA1	Pcdha1
PCDHA2	Pcdha2
PCDHA3	Pcdha3
PCDHA4	Pcdha4
PCDHA5	Pcdha5
PCDHA6	Pcdha6
PCDHA7	Pcdha7
PCDHA8	Pcdha8
PCDHA9	Pcdha9
PCDHA11	Pcdha11
PCDHA12	Pcdha12
PCDHAC1	Pcdhac1
PCDHAC2	Pcdhac2
PCDHB1	Pcdhb1
PCDHB2	Pcdhb2
PCDHB3	Pcdhb3
PCDHB4	Pcdhb4
PCDHB5	Pcdhb5
PCDHB6	Pcdhb6
PCDHB17	Pcdhb17
PCDHB7	Pcdhb7
PCDHB8	Pcdhb8
PCDHB16	Pcdhb16
PCDHB9	Pcdhb9
PCDHB10	Pcdhb10
PCDHB11	Pcdhb11
PCDHB12	Pcdhb12
PCDHB13	Pcdhb13
PCDHB14	Pcdhb14
PCDHB18	Pcdhb18
PCDHB15	Pcdhb15
SLC25A2	Slc25a2
TAF7	Taf7
PCDHGA1	Pcdhga1
PCDHGA2	Pcdhga2
PCDHGA3	Pcdhga3
PCDHGB1	Pcdhgb1
PCDHGA4	Pcdhga4
PCDHGB2	Pcdhgb2
PCDHGA5	Pcdhga5
PCDHGA6	Pcdhga6
PCDHGA7	Pcdhga7
PCDHGB4	Pcdhgb4
PCDHGA8	Pcdhga8
PCDHGA9	Pcdhga9
PCDHGB6	Pcdhgb6
PCDHGA10	Pcdhga10
PCDHGB7	Pcdhgb7
PCDHGA11	Pcdhga11
PCDHGA12	Pcdhga12
PCDHGC3	Pcdhgc3
PCDHGC4	Pcdhgc4
PCDHGC5	Pcdhgc5
DIAPH1	Diaph1
HDAC3	Hdac3
RELL2	Rell2
FCHSD1	Fchsd1
ARAP3	Arap3
PCDH1	Pcdh1
PCDH12	Pcdh12
RNF14	Rnf14
GNPDA1	Gnpda1
NDFIP1	Ndfip1
SPRY4	Spry4
FGF1	Fgf1
ARHGAP26	Arhgap26
NR3C1	Nr3c1
YIPF5	Yipf5
KCTD16	Kctd16
PRELID2	Prelid2
GRXCR2	Grxcr2
SH3RF2	Sh3rf2
PLAC8L1	Plac8l1
LARS	Lars
RBM27	Rbm27
POU4F3	Pou4f3
TCERG1	Tcerg1
GPR151	Gpr151
PPP2R2B	Ppp2r2b
STK32A	Stk32a
DPYSL3	Dpysl3
JAKMIP2	Jakmip2
SPINK1	Spink1
SCGB3A2	Scgb3a2
SPINK5	Spink5
SPINK14	Spink14
SPINK6	Spink6
SPINK13	Spink13
SPINK7	Spink7
FBXO38	Fbxo38
HTR4	Htr4
ADRB2	Adrb2
SH3TC2	Sh3tc2
ABLIM3	Ablim3
AFAP1L1	Afap1l1
GRPEL2	Grpel2
PCYOX1L	Pcyox1l
IL17B	Il17b
MIR143	Mir143
CSNK1A1	Csnk1a1
ARHGEF37	Arhgef37
PPARGC1B	Ppargc1b
MIR378A	Mir378a
PDE6A	Pde6a
SLC26A2	Slc26a2
HMGXB3	Hmgxb3
CSF1R	Csf1r
PDGFRB	Pdgfrb
CDX1	Cdx1
SLC6A7	Slc6a7
CAMK2A	Camk2a
ARSI	Arsi
TCOF1	Tcof1
CD74	Cd74
RPS14	Rps14
NDST1	Ndst1
SYNPO	Synpo
MYOZ3	Myoz3
RBM22	Rbm22
DCTN4	Dctn4
SMIM3	Smim3
GPX3	Gpx3
TNIP1	Tnip1
ANXA6	Anxa6
CCDC69	Ccdc69
GM2A	Gm2a
SLC36A3	Slc36a3
SLC36A2	Slc36a2
SLC36A1	Slc36a1
FAT2	Fat2
SPARC	Sparc
ATOX1	Atox1
G3BP1	G3bp1
GLRA1	Glra1
NMUR2	Nmur2
GRIA1	Gria1
FAM114A2	Fam114a2
MFAP3	Mfap3
GALNT10	Galnt10
SAP30L	Sap30l
HAND1	Hand1
LARP1	Larp1
CNOT8	Cnot8
GEMIN5	Gemin5
MRPL22	Mrpl22
SGCD	Sgcd
TIMD4	Timd4
HAVCR1	Havcr1
HAVCR2	Havcr2
MED7	Med7
ITK	Itk
FAM71B	Fam71b
CYFIP2	Cyfip2
FNDC9	Fndc9
ADAM19	Adam19
NIPAL4	Nipal4
SOX30	Sox30
THG1L	Thg1l
LSM11	Lsm11
CLINT1	Clint1
EBF1	Ebf1
RNF145	Rnf145
SNORA68	Snora68
UBLCP1	Ublcp1
IL12B	Il12b
ADRA1B	Adra1b
TTC1	Ttc1
PWWP2A	Pwwp2a
FABP6	Fabp6
CCNJL	Ccnjl
C1QTNF2	C1qtnf2
SLU7	Slu7
PTTG1	Pttg1
ATP10B	Atp10b
GABRB2	Gabrb2
GABRA6	Gabra6
GABRA1	Gabra1
GABRG2	Gabrg2
CCNG1	Ccng1
NUDCD2	Nudcd2
HMMR	Hmmr
MAT2B	Mat2b
TENM2	Tenm2
WWC1	Wwc1
RARS	Rars
FBLL1	Fbll1
PANK3	Pank3
SLIT3	Slit3
MIR218-2	Mir218-2
SPDL1	Spdl1
DOCK2	Dock2
FAM196B	Fam196b
FOXI1	Foxi1
LCP2	Lcp2
KCNIP1	Kcnip1
KCNMB1	Kcnmb1
GABRP	Gabrp
RANBP17	Ranbp17
TLX3	Tlx3
NPM1	Npm1
FGF18	Fgf18
SMIM23	Smim23
FBXW11	Fbxw11
STK10	Stk10
EFCAB9	Efcab9
UBTD2	Ubtd2
SH3PXD2B	Sh3pxd2b
NEURL1B	Neurl1b
DUSP1	Dusp1
ERGIC1	Ergic1
CREBRF	Crebrf
BNIP1	Bnip1
NKX2-5	Nkx2-5
STC2	Stc2
BOD1	Bod1
CPEB4	Cpeb4
NSG2	Nsg2
MSX2	Msx2
DRD1	Drd1
SFXN1	Sfxn1
HRH2	Hrh2
CPLX2	Cplx2
THOC3	Thoc3
SIMC1	Simc1
ARL10	Arl10
NOP16	Nop16
HIGD2A	Higd2a
CLTB	Cltb
FAF2	Faf2
RNF44	Rnf44
CDHR2	Cdhr2
GPRIN1	Gprin1
SNCB	Sncb
EIF4E1B	Eif4e1b
